index,views
993302, 2
993293, 0
997498, 1
993329, 2
993593, 0
994951, 0
992806, 0
997474, 2
993319, 0
993438, 0
993462, 1
992874, 0
993453, 0
995172, 0
994319, 0
993297, 0
994078, 0
993312, 0
994420, 1
991760, 1
996072, 1
993913, 0
994805, 0
994454, 2
993921, 0
993269, 0
993719, 1
993613, 1
993640, 1
993619, 2
995869, 3
993517, 0
995160, 3
994902, 0
993299, 0
994070, 0
994888, 0
993930, 0
993313, 0
993977, 0
995034, 2
993591, 0
994431, 0
996731, 0
993656, 0
993382, 1
993484, 0
994685, 0
995311, 1
995998, 1
993513, 0
996109, 2
996213, 4
993076, 0
997531, 4
995104, 1
994222, 0
996386, 0
996985, 2
993542, 0
993337, 1
996885, 4
996079, 0
994103, 0
993311, 0
993466, 3
995705, 3
994346, 0
994739, 3
997120, 1
997352, 6
993786, 1
993406, 0
993451, 0
991785, 0
994266, 1
993448, 1
993304, 0
996217, 0
992011, 0
992871, 0
993961, 0
994411, 0
994083, 0
993021, 0
993963, 0
993598, 2
993769, 0
995977, 2
994313, 2
994051, 0
994099, 0
993741, 0
993326, 0
993493, 0
994382, 1
993714, 0
995659, 4
995126, 0
995506, 5
996569, 0
996234, 4
996682, 2
993584, 0
997107, 2
988454, 3
993594, 0
996336, 0
994050, 0
996503, 3
993259, 0
993931, 0
997209, 0
993746, 0
993327, 0
994055, 0
994890, 0
996005, 0
994668, 0
994039, 0
996086, 3
993428, 0
994477, 1
993873, 0
996496, 1
995859, 1
994863, 1
994882, 1
997132, 5
995696, 0
996723, 0
995027, 0
993624, 0
992949, 0
995193, 3
992802, 0
996363, 2
993934, 0
995697, 4
995889, 2
997403, 3
993635, 0
995176, 5
997250, 4
994826, 1
994084, 0
993731, 1
996066, 1
996674, 4
992813, 1
996151, 2
993689, 2
995622, 2
997329, 0
993128, 0
996394, 2
996617, 8
995994, 0
993710, 0
995871, 0
993817, 0
992885, 0
994815, 0
996070, 1
997505, 0
997376, 1
993674, 3
994068, 0
993893, 1
993899, 0
995936, 3
997559, 53
996850, 2
994741, 0
996444, 3
993255, 0
994426, 0
995464, 2
993904, 0
994960, 2
994717, 0
994062, 1
994533, 0
995540, 0
993723, 0
997127, 0
993660, 0
994723, 0
995110, 0
993500, 0
993322, 0
994415, 0
993320, 0
996449, 1
993829, 0
993655, 0
996466, 0
994600, 0
994396, 0
996843, 0
995105, 0
993621, 0
995781, 0
993305, 0
995378, 1
996204, 1
996695, 0
996252, 0
995661, 0
996047, 1
996540, 2
994559, 0
993907, 0
994467, 0
994072, 0
995486, 1
994120, 0
993135, 1
994019, 0
994320, 0
995746, 1
995707, 2
996478, 0
997213, 2
995239, 3
994936, 1
994647, 0
993567, 0
996097, 4
993725, 1
992396, 0
995365, 0
997399, 1
995125, 2
996983, 6
993879, 0
993661, 0
996025, 2
994434, 0
993784, 0
997540, 0
994814, 1
995538, 0
993900, 2
993368, 1
997028, 0
995848, 1
996110, 1
992848, 0
993454, 0
997263, 6
992904, 0
992884, 0
996971, 3
993101, 0
995465, 3
974615, 3
994342, 0
996382, 1
996538, 1
993265, 0
995411, 4
997283, 0
997092, 6
996189, 2
993585, 0
996789, 1
996675, 1
996950, 2
994478, 1
994569, 0
995493, 1
993283, 0
993658, 0
994236, 0
995681, 0
996372, 1
994772, 0
997302, 0
994598, 1
995284, 1
995227, 0
994812, 1
994587, 0
994536, 1
993434, 0
994692, 0
997616, 41
993924, 0
995025, 0
995186, 2
995932, 0
994532, 0
993332, 0
993610, 0
993356, 0
996572, 1
997381, 0
994581, 0
994451, 0
992525, 0
993518, 0
993667, 0
997261, 0
994958, 1
992902, 0
995833, 3
993440, 0
993693, 1
993914, 0
993973, 0
996098, 4
995541, 3
986789, 2
996188, 0
993677, 0
993789, 0
995796, 1
994806, 1
997126, 4
995675, 2
994457, 1
993492, 0
995947, 1
995091, 0
994250, 1
994007, 1
993605, 0
995527, 1
996479, 2
995413, 1
993969, 2
995684, 1
993647, 0
994164, 1
994937, 0
994720, 0
993589, 0
997099, 5
994317, 1
995355, 1
995568, 1
996362, 0
993708, 0
995369, 0
997406, 4
995825, 0
997058, 0
993650, 0
995537, 0
996400, 1
993590, 0
993779, 0
993887, 0
995149, 2
995384, 0
974441, 4
997115, 5
995336, 4
996124, 1
995505, 1
993681, 0
988990, 0
993592, 0
993442, 0
996355, 0
994972, 1
994087, 0
994671, 0
993136, 0
993443, 0
996261, 3
996502, 2
972937, 4
993870, 0
994486, 3
991407, 1
995729, 3
996781, 0
993668, 0
996807, 1
996304, 0
994073, 0
993572, 0
993841, 0
993188, 0
994095, 0
993810, 0
994069, 0
994131, 0
975858, 6
994516, 1
993351, 0
994436, 1
995670, 1
996366, 1
997220, 2
993611, 0
994247, 0
996531, 1
995585, 4
995868, 1
993051, 0
994534, 0
996484, 0
992905, 0
996119, 1
995945, 1
994180, 0
994196, 1
993511, 0
994035, 0
997449, 2
996379, 3
992900, 0
993126, 2
994790, 0
993346, 0
996772, 10
993716, 0
993632, 0
996413, 0
994343, 0
997225, 0
996525, 1
994234, 1
996719, 1
996357, 1
990939, 1
993386, 0
993576, 0
993421, 0
994970, 1
993851, 1
993801, 0
995010, 1
994354, 0
996259, 2
996164, 2
997295, 4
992858, 0
994212, 1
994033, 0
993781, 1
994034, 0
993092, 0
993109, 0
993360, 0
993945, 0
993614, 0
993735, 0
996337, 0
994813, 0
993759, 0
994643, 2
993983, 0
993480, 0
993449, 1
994125, 0
995693, 0
993579, 1
993707, 0
996555, 0
996859, 2
997345, 0
994229, 0
995528, 1
995234, 1
994174, 1
996724, 4
994819, 0
997365, 3
994312, 0
994204, 0
993413, 0
993479, 1
997200, 3
992046, 0
994683, 0
994106, 0
997171, 2
995098, 2
992815, 0
996029, 0
996676, 2
994414, 0
996809, 8
993553, 1
995101, 1
995530, 1
996913, 4
993701, 1
996071, 0
994915, 2
994294, 0
994048, 0
992901, 1
993896, 0
992817, 0
993982, 0
997382, 3
995267, 1
995405, 2
992909, 1
993649, 0
993560, 1
992799, 0
993362, 0
993253, 0
995970, 2
997425, 4
993884, 0
992792, 0
995245, 3
991974, 0
993359, 0
996015, 3
995022, 0
994032, 0
995496, 3
996018, 2
995884, 0
996276, 2
996852, 0
339860, 9
996837, 6
992867, 0
997598, 40
993604, 0
992784, 0
997119, 5
995692, 1
993384, 0
993325, 0
997037, 11
995188, 1
997349, 0
995124, 0
992880, 0
995529, 2
996474, 0
992192, 1
996595, 2
996063, 1
993230, 0
997317, 5
995917, 2
994751, 2
995325, 4
995939, 0
995122, 0
993419, 1
994508, 0
997275, 0
996169, 0
995523, 2
996002, 1
994880, 0
993620, 0
994808, 0
996327, 0
993622, 1
993565, 0
997455, 36
995815, 0
891293, 1
996472, 1
994116, 0
993768, 1
992154, 0
997335, 2
995966, 0
996437, 3
993352, 0
995305, 0
994460, 1
994171, 2
993415, 0
993916, 1
995395, 2
995312, 0
996067, 1
994684, 0
992835, 0
993424, 1
910385, 7
996423, 0
995779, 0
995783, 2
997555, 1
996733, 2
993488, 0
997595, 40
993607, 1
997240, 1
993279, 0
994767, 0
994844, 0
992776, 0
994713, 1
993240, 0
997128, 3
993616, 0
995424, 0
994938, 0
995287, 0
996107, 2
995100, 6
994177, 0
994152, 0
995866, 5
993343, 1
995255, 0
995296, 0
995804, 0
996353, 4
994085, 0
996848, 0
993477, 0
994764, 1
995406, 0
994874, 0
996996, 3
995467, 3
991783, 0
996096, 3
993880, 0
993486, 0
993328, 1
994020, 0
993888, 0
994744, 1
997198, 3
996969, 4
992873, 0
994787, 0
993702, 0
993919, 0
995422, 1
993379, 0
994944, 1
994038, 0
992795, 0
996548, 9
889751, 0
992916, 0
996415, 2
997097, 5
995417, 0
996024, 1
993381, 0
996232, 1
994218, 0
993699, 0
992983, 0
997111, 3
993019, 2
993630, 1
995531, 2
996661, 1
997011, 5
993481, 0
992960, 1
993662, 0
996052, 0
993644, 0
996183, 1
993388, 0
993392, 0
994585, 0
995201, 0
993669, 0
994727, 0
993863, 1
993836, 0
995404, 0
997299, 0
972031, 3
996884, 0
993559, 0
997298, 3
994865, 1
997303, 2
993354, 0
993004, 0
993399, 0
997350, 5
994506, 0
994309, 0
995548, 0
995180, 0
994281, 0
994119, 1
995374, 2
995079, 0
993727, 1
993809, 0
996061, 0
993294, 1
994731, 0
994999, 0
996808, 3
995644, 1
994054, 0
996036, 2
996212, 0
995716, 2
995937, 1
992923, 0
995785, 2
996611, 3
994362, 0
994580, 0
996741, 4
995565, 3
996486, 8
996246, 1
995763, 1
995003, 0
993334, 0
993318, 1
995358, 0
996306, 0
992952, 0
996278, 0
993734, 1
994670, 1
994052, 0
993285, 0
993391, 0
997026, 3
997495, 2
993770, 0
995516, 1
993687, 1
996965, 4
994245, 0
994372, 0
993922, 0
996745, 0
997383, 1
993139, 0
996004, 0
993317, 0
993551, 0
